GPA,Major,Clubs,Attendance,Dropout
<<<<<<< Updated upstream
3.24,Math,2,59.2,0
3.82,Economics,1,66.3,0
3.5,Math,0,91.6,0
2.65,Economics,0,66.4,0
2.48,CS,2,95.3,0
3.0,CS,3,91.5,0
2.25,CS,2,52.8,1
2.21,Economics,3,98.2,0
2.69,CS,4,84.2,0
2.88,CS,1,71.3,0
2.41,History,4,67.6,1
2.12,History,2,90.4,0
2.91,Economics,3,71.0,0
3.18,CS,2,79.5,0
3.85,Economics,1,79.2,0
2.64,History,3,72.9,0
2.96,History,1,83.9,0
3.27,CS,0,96.2,0
2.43,CS,1,99.8,0
3.52,CS,2,92.0,0
3.27,Economics,2,83.3,0
2.84,CS,2,83.3,0
3.19,Math,0,96.0,0
3.46,CS,4,75.3,0
3.1,History,3,90.0,0
3.66,CS,3,87.0,0
4.22,CS,3,63.4,0
3.25,Economics,1,63.1,0
2.94,CS,0,92.0,0
2.37,Math,2,68.5,1
3.71,History,3,82.7,0
3.05,Economics,3,81.0,0
2.65,Economics,0,51.5,0
2.94,History,2,99.5,0
2.39,CS,1,54.8,1
2.89,History,0,65.1,0
3.18,Economics,3,66.2,0
3.56,CS,1,76.9,0
1.96,CS,4,82.5,0
2.94,History,1,78.1,0
2.57,History,1,71.0,0
2.7,CS,2,74.4,0
2.87,Economics,1,80.5,0
2.63,Math,3,88.3,0
2.71,History,4,81.8,0
2.42,Math,2,86.8,0
1.84,CS,0,55.1,1
2.9,Math,2,71.0,0
2.7,History,2,71.0,0
4.0,History,4,84.7,0
2.12,History,1,77.6,0
2.72,Economics,1,53.8,0
2.45,CS,2,92.5,0
2.27,CS,1,92.0,0
2.28,Economics,1,60.6,1
2.47,Math,1,89.3,0
3.14,Economics,1,65.7,0
2.38,Math,5,53.9,1
2.65,History,1,50.4,0
3.23,Math,1,93.6,0
2.73,Economics,0,88.4,0
3.26,Math,1,50.9,0
3.46,History,2,79.9,0
3.49,History,3,76.4,0
1.88,History,2,70.8,1
3.51,Math,1,81.1,0
2.62,Math,7,57.8,0
2.77,Economics,2,72.7,0
2.49,Economics,0,54.3,1
2.53,Math,2,90.6,0
3.38,CS,4,72.7,0
3.16,CS,1,66.1,0
2.95,Economics,1,74.7,0
3.14,Math,4,56.8,0
2.39,Math,1,88.1,0
3.85,History,1,73.2,0
2.47,History,1,65.2,1
3.45,Economics,1,53.7,0
2.77,Math,3,63.4,0
3.19,CS,3,75.9,0
2.21,Math,2,79.1,0
3.56,Math,1,58.0,0
3.01,History,2,90.0,0
3.38,Math,1,75.5,0
2.71,History,4,84.7,0
1.96,History,1,61.4,1
3.15,History,2,61.6,0
2.9,Economics,3,96.9,0
3.59,Economics,0,55.1,0
2.09,CS,2,99.1,0
3.97,Economics,3,73.3,0
3.03,Math,3,59.4,0
2.65,History,2,51.8,0
3.38,Economics,4,82.8,0
3.12,Math,0,91.4,0
3.01,History,2,54.5,0
3.05,Math,5,88.6,0
3.1,CS,3,50.8,0
2.43,CS,0,86.1,0
3.43,History,4,55.1,0
2.69,Economics,4,63.4,0
3.89,Math,2,91.1,0
3.71,History,2,61.6,0
2.43,History,6,71.9,1
3.36,History,1,65.2,0
3.69,CS,2,79.7,0
2.29,Math,4,57.2,1
2.19,Economics,1,65.7,1
3.19,Economics,4,94.3,0
3.42,Economics,4,98.5,0
3.56,Economics,0,98.8,0
2.91,History,2,66.3,0
3.77,CS,4,74.9,0
2.24,Economics,1,55.3,1
2.4,CS,2,92.1,0
2.87,CS,2,54.3,0
2.82,Math,3,92.2,0
2.0,CS,2,73.7,1
3.41,CS,2,77.5,0
3.46,Math,3,98.6,0
1.83,CS,2,91.8,0
2.97,History,3,90.7,0
2.76,History,2,59.2,0
2.89,History,2,62.3,0
4.09,History,0,85.0,0
3.78,Economics,0,72.2,0
3.1,CS,1,54.8,0
3.36,CS,1,71.8,0
2.63,Math,3,78.1,0
2.65,Economics,1,86.5,0
3.19,CS,0,81.7,0
2.16,History,3,70.2,1
2.83,History,1,95.7,0
2.47,History,6,62.5,1
2.86,History,1,68.7,0
2.36,CS,0,83.1,0
2.9,CS,3,65.9,0
2.67,Math,5,75.8,0
3.53,Math,2,79.8,0
3.4,Economics,4,76.4,0
2.41,Math,0,51.7,1
2.87,Economics,1,65.4,0
2.97,Economics,4,53.6,0
2.82,Math,3,78.1,0
4.4,History,1,90.3,0
2.41,Economics,2,91.8,0
3.25,History,3,74.5,0
2.52,Economics,1,90.1,0
2.74,Economics,4,56.9,0
2.53,Economics,1,79.3,0
3.6,History,4,67.1,0
3.29,CS,0,81.3,0
2.91,History,4,68.0,0
2.24,History,1,69.3,1
3.31,Math,1,74.9,0
3.06,Math,3,64.6,0
3.52,CS,2,98.1,0
3.0,History,3,50.3,0
3.23,CS,0,89.7,0
3.03,Math,2,68.0,0
3.13,Economics,2,59.0,0
2.45,History,1,60.0,1
2.93,Math,6,57.6,0
2.49,History,2,65.2,1
4.05,Economics,0,79.2,0
3.23,History,5,69.0,0
2.71,Math,2,99.3,0
3.89,Economics,1,80.7,0
3.06,Economics,0,74.2,0
2.21,History,1,89.0,0
2.42,History,3,68.7,1
3.18,Economics,1,76.7,0
2.97,Economics,2,65.4,0
2.87,Math,0,68.8,0
4.16,Math,3,59.2,0
3.19,History,3,88.5,0
3.66,Economics,3,90.1,0
2.93,History,5,93.2,0
3.09,Economics,0,51.1,0
3.45,Math,3,70.0,0
3.19,Economics,2,96.7,0
2.6,Math,0,55.1,0
3.28,Economics,2,86.5,0
3.65,CS,3,52.3,0
2.97,History,2,80.0,0
2.64,Math,3,62.3,0
3.73,Math,1,72.9,0
2.94,Economics,0,51.3,0
2.46,CS,0,78.5,0
2.95,Economics,2,84.2,0
2.73,History,3,58.5,0
3.17,CS,0,70.7,0
3.33,Math,2,88.9,0
2.66,Math,2,91.3,0
3.15,Math,3,65.2,0
2.3,History,1,77.5,0
2.77,Math,1,80.4,0
3.14,CS,1,95.2,0
2.83,Math,2,74.0,0
2.49,CS,1,77.7,0
3.85,CS,2,87.4,0
3.03,CS,2,82.3,0
3.51,Economics,1,97.8,0
2.97,Economics,4,51.9,0
2.98,Economics,1,72.9,0
2.61,History,5,80.3,0
2.3,CS,2,69.9,1
3.12,History,0,69.7,0
2.89,Math,3,66.9,0
3.42,History,0,74.9,0
2.45,Economics,5,58.8,1
3.54,Math,1,66.0,0
4.12,CS,3,53.1,0
4.02,Economics,2,83.7,0
2.78,Math,1,62.7,0
2.81,Economics,1,56.8,0
3.28,History,4,73.7,0
3.23,History,1,68.2,0
2.49,History,2,87.0,0
2.91,Math,3,72.9,0
4.27,Math,3,91.0,0
3.62,CS,2,61.2,0
2.95,Math,3,95.7,0
3.28,Math,1,52.1,0
3.28,CS,2,74.2,0
3.18,CS,3,91.3,0
2.46,Math,1,78.3,0
2.34,Economics,2,61.2,1
3.12,Economics,3,71.4,0
2.08,History,0,91.9,0
3.44,Math,1,96.0,0
3.0,Economics,4,67.2,0
3.23,History,4,99.1,0
3.67,Economics,1,51.2,0
2.79,Math,5,80.9,0
3.27,Economics,4,66.0,0
2.85,Math,0,90.6,0
3.01,Math,3,58.7,0
2.94,Economics,0,51.0,0
2.95,History,0,73.1,0
3.27,Math,1,60.8,0
3.3,History,3,85.5,0
3.13,History,2,93.2,0
3.72,CS,1,60.6,0
2.9,CS,4,59.5,0
3.64,History,1,76.6,0
3.1,Math,0,93.6,0
3.0,CS,1,69.7,0
2.69,Economics,4,91.4,0
2.52,Math,1,92.0,0
=======
3.25,Math,4,82.6,0
2.93,Math,0,91.5,0
3.32,CS,0,60.3,0
3.76,History,0,50.5,0
2.88,CS,0,56.8,0
2.88,CS,1,95.0,0
3.79,Economics,2,93.7,0
3.38,Math,2,79.9,0
2.77,History,5,80.0,0
3.27,Economics,1,83.3,0
2.77,CS,3,58.8,0
2.77,Math,4,95.7,0
3.12,Economics,2,70.9,0
2.04,Math,3,69.2,1
2.14,Economics,2,75.9,0
2.72,Math,1,52.3,0
2.49,CS,4,58.3,1
3.16,History,1,86.9,0
2.55,CS,3,54.1,0
2.29,History,1,80.2,0
3.73,Math,1,62.3,0
2.89,Economics,3,69.5,0
3.03,CS,0,64.4,0
2.29,History,1,67.8,1
2.73,CS,1,86.0,0
3.06,History,0,64.9,0
2.42,CS,1,78.3,0
3.19,History,2,73.8,0
2.7,History,0,83.2,0
2.85,Math,3,96.8,0
2.7,History,4,86.6,0
3.93,Math,4,60.7,0
2.99,History,1,51.6,0
2.47,Economics,1,63.1,1
3.41,Economics,0,79.8,0
2.39,Economics,0,52.6,1
3.1,History,4,74.8,0
2.02,Math,2,79.8,0
2.34,Math,1,66.7,1
3.1,History,1,88.5,0
3.37,Economics,3,55.3,0
3.09,Economics,4,53.8,0
2.94,Math,4,86.4,0
2.85,Economics,3,74.8,0
2.26,CS,2,84.4,0
2.64,Math,2,71.7,0
2.77,Economics,0,62.3,0
3.53,Math,4,91.0,0
3.17,CS,2,90.0,0
2.12,Math,5,84.7,0
3.16,Math,2,63.6,0
2.81,Math,0,79.5,0
2.66,Math,3,68.0,0
3.31,CS,5,54.6,0
3.52,History,1,95.9,0
3.47,Math,0,56.8,0
2.58,Math,8,97.5,0
2.85,Economics,1,72.3,0
3.17,Math,2,59.3,0
3.49,Economics,3,77.1,0
2.76,History,4,93.6,0
2.91,CS,3,86.6,0
2.45,CS,0,90.3,0
2.4,History,0,82.9,0
3.41,CS,3,84.6,0
3.68,History,1,92.5,0
2.96,History,2,62.5,0
3.5,History,3,74.5,0
3.18,CS,5,61.1,0
2.68,Economics,2,99.4,0
3.18,History,3,97.2,0
3.77,Math,2,52.0,0
2.98,CS,0,85.3,0
3.78,History,0,96.3,0
1.69,History,1,59.0,1
3.41,Math,1,78.4,0
3.04,Economics,3,95.8,0
2.85,Economics,1,51.7,0
3.05,Economics,0,84.9,0
2.01,History,1,64.9,1
2.89,History,1,96.2,0
3.18,History,0,98.6,0
3.74,CS,1,97.2,0
2.74,Math,2,73.7,0
2.6,History,0,93.1,0
2.75,Math,2,92.2,0
3.46,Math,2,66.0,0
3.16,Economics,3,91.4,0
2.74,CS,1,51.9,0
3.26,History,2,79.8,0
3.05,Economics,2,61.5,0
3.48,Economics,3,56.0,0
2.65,History,1,53.8,0
2.84,Math,2,84.8,0
2.8,Economics,1,67.0,0
2.27,Math,0,86.2,0
3.15,CS,1,53.3,0
3.13,Math,1,65.8,0
3.0,CS,5,77.0,0
2.88,Math,3,89.5,0
2.29,Economics,0,65.9,1
2.79,Economics,1,81.3,0
2.83,CS,2,94.3,0
2.6,History,3,80.8,0
2.92,CS,1,61.6,0
3.2,CS,1,51.2,0
3.94,Math,1,93.5,0
3.09,Math,1,51.1,0
3.13,CS,3,93.7,0
2.96,Economics,4,76.4,0
2.04,Math,1,97.0,0
2.99,History,3,89.9,0
3.03,Math,2,99.9,0
4.23,Math,2,67.5,0
2.9,History,0,88.4,0
3.15,CS,2,70.1,0
2.98,History,1,74.0,0
2.42,CS,1,81.4,0
3.57,CS,1,93.7,0
3.38,CS,0,99.2,0
3.4,History,3,88.4,0
2.55,CS,4,70.9,0
3.7,Economics,4,71.1,0
2.3,History,2,86.9,0
3.29,Economics,0,61.9,0
4.1,CS,3,55.5,0
2.5,Math,2,67.7,0
2.72,CS,1,64.4,0
3.05,Economics,2,64.8,0
2.75,Economics,3,61.7,0
2.22,History,2,52.1,1
3.03,Math,2,50.9,0
2.47,History,4,99.4,0
3.24,Economics,0,71.4,0
2.54,CS,3,69.2,0
3.77,Math,5,84.0,0
2.61,CS,1,60.9,0
2.84,CS,1,97.5,0
3.41,Math,3,89.3,0
2.38,History,1,54.5,1
3.11,CS,1,70.9,0
3.65,Economics,2,94.0,0
2.2,CS,2,97.2,0
3.09,Math,3,73.4,0
3.13,Math,1,80.7,0
3.39,Math,3,58.4,0
2.38,History,2,99.6,0
2.34,CS,2,61.6,1
3.26,History,6,97.1,0
3.15,History,3,82.5,0
3.13,Math,3,80.4,0
3.17,Math,2,75.6,0
2.66,History,4,61.5,0
3.12,CS,0,58.8,0
3.15,Economics,2,61.0,0
2.64,History,1,59.3,0
3.93,CS,3,89.0,0
3.24,Math,2,67.5,0
2.4,Math,1,52.9,1
3.33,CS,1,98.5,0
2.51,Economics,3,94.2,0
3.39,Math,1,96.4,0
3.58,Math,1,99.7,0
2.59,Math,2,58.7,0
3.48,CS,0,69.8,0
3.21,History,3,87.9,0
3.41,Math,3,84.8,0
3.95,History,1,57.7,0
2.88,Economics,2,90.8,0
2.62,Math,3,61.2,0
2.56,Math,2,61.2,0
2.59,Economics,3,76.8,0
2.96,Math,2,79.6,0
3.17,History,0,79.0,0
3.14,CS,1,54.6,0
3.41,History,1,93.9,0
3.01,CS,1,63.3,0
3.73,CS,1,56.5,0
2.87,History,0,94.4,0
4.36,History,2,97.8,0
3.31,History,1,93.1,0
2.57,History,3,90.5,0
2.46,Economics,2,82.8,0
3.24,Math,2,77.5,0
2.89,CS,0,54.3,0
3.36,History,1,70.4,0
3.24,History,1,68.6,0
2.96,History,3,63.0,0
2.58,Economics,1,86.2,0
2.24,History,2,74.8,0
2.78,History,2,54.1,0
3.43,History,3,61.0,0
3.11,Math,4,84.2,0
2.38,Economics,0,53.8,1
3.09,History,2,92.6,0
3.19,CS,1,74.8,0
2.56,CS,3,74.0,0
3.08,CS,1,79.6,0
3.03,Economics,1,91.2,0
2.43,Economics,2,67.4,1
>>>>>>> Stashed changes
